02000	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	333	333	20000	0	0		1	0	127.0.0.1	2026-03-23 00:24:03	人物上线	0

02001	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	333	333	20000	6	0		0	0	127.0.0.1	2026-03-23 00:24:08	人物离线0/0/52	0

02000	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	333	333	20000	0	0		1	0	127.0.0.1	2026-03-23 00:24:11	人物上线	0

02001	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	333	333	20000	3	0		0	0	127.0.0.1	2026-03-23 00:24:13	人物离线0/0/52	0

02000	soft119	b4d74785ccea37c832e960f7f868f333	范德萨	1774077028000006072	0	328	261	18	0	0		1	0	127.0.0.1	2026-03-23 00:24:15	人物上线	0

02001	soft119	b4d74785ccea37c832e960f7f868f333	范德萨	1774077028000006072	0	328	261	18	0	0		0	0	127.0.0.1	2026-03-23 00:24:15	重置离线	0
02000	soft119	b4d74785ccea37c832e960f7f868f333	范德萨	1774077028000006072	0	328	261	18	0	0		1	0	127.0.0.1	2026-03-23 00:24:15	重置上线	0

02001	soft119	b4d74785ccea37c832e960f7f868f333	范德萨	1774077028000006072	0	328	265	18	5	0		0	0	127.0.0.1	2026-03-23 00:24:20	人物离线0/0/52	0

02000	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	333	333	20000	0	0		1	0	127.0.0.1	2026-03-23 00:24:24	人物上线	0

